cluster,centroid_lat,centroid_lon,mean_hcho,max_hcho,hcho_std,pixel_count,mean_cv,mean_season,mean_pm,source_type,intensity,rank,year
0,24.66020320947736,82.42317393918763,0.00019556791634755633,0.0002722424222489524,1.663527761277948e-05,18479,0.20836497687006011,0.11209307519601476,0.9899263127293768,Persistent anthropogenic,Extreme,1,2023
2,16.72384370600188,74.36116014264519,0.00018083582297003138,0.00022688442718351738,1.1520516499880256e-05,1876,0.2904614228143041,-0.3184602165037044,1.098975153901893,Anthropogenic (industrial/vehicular),Extreme,2,2023
1,21.20587333249627,95.44319069372796,0.0001805251420209883,0.0002076012709682639,7.95506165366332e-06,2783,0.4438315097947756,0.11730919735936642,0.7053819789108774,Episodic/mixed,High,3,2023
3,22.244532223009653,97.21268566313421,0.0001718552095083288,0.0001804854224022543,3.7347579460735237e-06,48,0.503290300351486,0.018169272818123954,0.6488266786784215,Episodic/mixed,Moderate,4,2023
5,18.94546934208071,97.40881783350031,0.00017100461285048614,0.00017356096845177815,1.8704737725264033e-06,20,0.5769488681413473,-0.05188207102331045,0.6062420061622025,Episodic/mixed,Moderate,5,2023
6,17.29631219965129,76.7186205840408,0.0001704197117933234,0.00017472276726813573,1.948938286880853e-06,72,0.24890125754935039,-0.06559059542386311,0.9772305912954425,Persistent anthropogenic,Moderate,6,2023
8,15.669711115858638,78.38831707547553,0.00017019576598323628,0.0001752391213393769,2.1617266256391883e-06,61,0.24523214128399676,0.13689070320616278,0.8572999903373937,Persistent anthropogenic,Moderate,7,2023
7,16.253436944697672,77.35344353970274,0.00016953115625884012,0.00017301579518290644,1.629399791573431e-06,37,0.21464056480962368,0.08650556154127381,0.9526814655471177,Persistent anthropogenic,Moderate,8,2023
9,12.99650847818802,79.74926039959894,0.00016922130707325988,0.0001712372419090351,1.1370550578425524e-06,34,0.25960189567380393,0.4144716456860203,0.7953268963931147,Biogenic (forest/vegetation),Moderate,9,2023
10,11.543351400935853,79.26634254261312,0.00016921316582108108,0.00017119441176686117,1.1607777412239246e-06,18,0.25096540658240396,0.42423232283213974,0.868899631549695,Biogenic (forest/vegetation),Moderate,10,2023
4,19.192851551092087,76.06311915342795,0.0001691380470193192,0.00017125239053455873,1.0921646448646048e-06,13,0.17819409631547428,-0.08385362162221062,1.0055194799603047,Persistent anthropogenic,Moderate,11,2023
